year,value
1990,100.00
1991,107.23
1992,111.51
1993,110.53
1994,114.23
1995,115.53
1996,112.71
1997,115.83
1998,118.89
1999,122.92
2000,125.87
2001,125.59
2002,127.78
2003,125.37
2004,126.91
2005,128.10
2006,130.34
2007,140.66
2008,140.38
2009,140.80
2010,139.47
2011,151.14
2012,153.61
2013,150.18
2014,160.00
2015,161.79
2016,163.26
