id,name,no2Ags
08118028,Hessigheim,10041518
08116012,Bissingen an der Teck,10041518
08415060,Pliezhausen,10041518
08116033,Kirchheim unter Teck,10041518
08425088,Oberdischingen,10041518
08117058,Wiesensteig,10041518
08118016,Freudental,10041518
08118078,Freiberg am Neckar,10041518
08118077,Ingersheim,10041518
08119089,Berglen,10041518
08116071,Wendlingen am Neckar,10041518
09271139,Oberpöring,14523320
13075138,Viereck,12073532
08127086,Untermünkheim,16066042
08117011,Börtlingen,10041518
12069402,Mühlenfließ,12069020
08119093,Kernen im Remstal,10041518
08118060,Oberstenfeld,10041518
08116080,Ostfildern,10041518
05362036,Pulheim,10044114
08415048,Mehrstetten,10041518
06632018,Rotenburg a.d. Fulda,16056000
08125110,Obersulm,10041518
08119003,Allmersbach im Tal,10041518
09172131,Schneizlreuth,14523320
15091010,Annaburg,15091375
08116046,Neuffen,10041518
06632005,Cornberg,16056000
08335066,Reichenau,10041100
08335100,Rielasingen-Worblingen,10041100
08335026,Gailingen am Hochrhein,10041100
08335028,Gottmadingen,10041100
08335035,Hilzingen,10041100
08335080,Tengen,10041100
08326005,Blumberg,10041100
08337030,Dettighofen,10041100
08337062,Klettgau,10041100
08337053,Hohentengen am Hochrhein,10041100
08415087,Walddorfhäslach,10041518
08336105,Grenzach-Wyhlen,10041100
08336091,Weil am Rhein,10041100
07334021,Neuburg am Rhein,10041518
07334002,Berg (Pfalz),10041518
07340211,Hornbach,10041518
07340218,Mauschbach,10041518
08416009,Dettenhausen,10041518
03459030,Quakenbrück,15081280
08125001,Abstatt,10041518
08116068,Unterensingen,10041518
08125021,Eberstadt,10041518
13072109,Thürkow,13003000
08119006,Auenwald,10041518
08425039,Erbach,10041518
08125066,Neckarwestheim,10041518
08125059,Löwenstein,10041518
08315015,Breisach am Rhein,10041100
08425139,Heroldstatt,10041518
08116036,Kohlberg,10041518
12061329,Märkische Heide,12061352
08126094,Zweiflingen,16066042
08116015,Denkendorf,10041518
08119061,Rudersberg,10041518
08116047,Neuhausen auf den Fildern,10041518
08117029,Hattenhofen,10041518
08117049,Süßen,10041518
08117002,Aichelberg,10041518
08415078,Bad Urach,10041518
08417010,Bitz,10041100
08117043,Schlat,10041518
08117038,Rechberghausen,10041518
08118051,Möglingen,10041518
08425017,Berghülen,10041518
08127079,Sulzbach-Laufen,16066042
08415093,St. Johann,10041518
08136027,Gschwend,16066042
08336089,Tunau,10041100
08117006,Bad Ditzenbach,10041518
05966020,Lennestadt,16056000
08119068,Schwaikheim,10041518
06635001,Allendorf (Eder),16056000
08136042,Lorch,10041518
08118063,Pleidelsheim,10041518
13072042,Gülzow-Prüzen,13003000
08125024,Ellhofen,10041518
08125098,Untergruppenbach,10041518
08116014,Deizisau,10041518
08119042,Leutenbach,10041518
08116070,Weilheim an der Teck,10041518
08118015,Erligheim,10041518
08116018,Erkenbrechtsweiler,10041518
08119020,Fellbach,10041518
08116019,Esslingen am Neckar,10041518
08116020,Frickenhausen,10041518
08136040,Leinzell,16066042
08119024,Großerlach,16066042
08127023,Fichtenberg,16066042
08116035,Köngen,10041518
08117018,Ebersbach an der Fils,10041518
08416026,Nehren,10041518
08425098,Rechtenstein,10041518
08415090,Hohenstein,10041518
08425002,Allmendingen,10041518
08325057,Sulz am Neckar,10041100
07233083,Wiesbaum,10044114
08317098,Oppenau,10041100
09764000,Memmingen,10041518
08336045,Kandern,10041100
08315094,St. Märgen,10041100
08336100,Wittlingen,10041100
08417025,Haigerloch,10041100
08327038,Neuhausen ob Eck,10041100
08336034,Hasel,10041100
07337049,Klingenmünster,10041518
07340028,Lemberg,10041518
08327051,Wehingen,10041100
03462013,Schweindorf,13004000
03462015,Stedesdorf,13004000
08315072,Merdingen,10041100
08327002,Aldingen,10041100
08236074,Kämpfelbach,10041518
08437072,Leibertingen,10041100
08236044,Neuhausen,10041518
08317039,Gutach (Schwarzwaldbahn),10041100
12069470,Planebruch,12069020
07339016,Engelstadt,10041518
07141121,Sankt Goarshausen,10041518
07133014,Boos,10041518
05962028,Kierspe,16056000
07337024,Eußerthal,10041518
07133075,Oberstreit,10041518
07337072,Schweighofen,10041518
05774016,Büren,16056000
05566040,Lengerich,15085370
07233242,Uersfeld,10044111
07137027,Gappenach,10044111
09577114,Muhr a. See,16072013
16075119,Volkmannsdorf,16074102
09273454,Hienheimer Forst,14523320
09772117,Aystetten,16072013
09273147,Mainburg,14523320
09185158,Schrobenhausen,16072013
09771144,Kühbach,16072013
09773164,Schwenningen,16072013
09176139,Kösching,16072013
09373146,Mühlhausen,16072013
09778136,Erkheim,16072013
08215111,Dettenheim,10041518
07334004,Erlenbach bei Kandel,10041518
08236061,Sternenfels,10041518
08115054,Grafenau,10041518
08336057,Maulburg,10041100
03255501,Boffzen,15085370
08215084,Ubstadt-Weiher,10041518
07141031,Dörscheid,10041518
08327012,Durchhausen,10041100
08125026,Eppingen,10041518
08317088,Oberharmersbach,10041100
08136071,Tannhausen,16072013
09571224,Wilburgstetten,16072013
08236075,Ölbronn-Dürrn,10041518
03255009,Derental,16064046
09183140,Reichertsheim,14523320
09374137,Moosbach,14523320
09773186,Ziertheim,16072013
09479112,Arzberg,14523320
05913000,Dortmund,16056000
16077006,Frohnsdorf,16077001
09189162,Waging a. See,14523320
16075048,Kirschkau,16076022
16075057,Lemnitz,16074102
16074072,Rauda,16052000
14627010,Coswig,14627210
14625100,Demitz-Thumitz,14625020
14522220,Großweitzschen,14730330
13072119,Zehna,13004000
16076012,Caaschwitz,16052000
16074077,Renthendorf,16074102
06636008,Meißner,16056000
03254017,Giesen,15085370
09277117,Egglham,14521020
08425004,Altheim,10041518
08119076,Urbach,10041518
08415019,Eningen unter Achalm,10041518
08115044,Schönaich,10041518
08118071,Tamm,10041518
08125096,Untereisesheim,10041518
08125058,Leingarten,10041518
08415050,Metzingen,10041518
08117053,Wäschenbeuren,10041518
08415058,Pfronstetten,10041518
03353026,Neu Wulmstorf,13004000
08119085,Winnenden,10041518
13072039,Groß Schwiesow,13003000
01060093,Wakendorf I,13004000
08416015,Gomaringen,10041518
08118018,Gemmrigheim,10041518
08116022,Großbettlingen,10041518
08119084,Welzheim,10041518
08117044,Schlierbach,10041518
08117033,Kuchen,10041518
08119086,Winterbach,10041518
08115046,Steinenbronn,10041518
08116050,Oberboihingen,10041518
08119004,Althütte,10041518
08117051,Uhingen,10041518
08125057,Lehrensteinsfeld,10041518
08118007,Besigheim,10041518
08116008,Bempflingen,10041518
08117026,Göppingen,10041518
08437031,Gammertingen,10041518
08125069,Neuenstadt am Kocher,10041518
08316014,Gutach im Breisgau,10041100
07337019,Dörrenbach,10041518
08325051,Schiltach,10041100
08317059,Kippenheim,10041100
08326020,Gütenbach,10041100
08335057,Mühlingen,10041100
08327027,Irndorf,10041100
07334034,Winden,10041518
08317005,Appenweier,10041100
08118081,Remseck am Neckar,10041518
08116005,Altdorf,10041518
08117016,Drackenstein,10041518
08118048,Ludwigsburg,10041518
08119069,Spiegelberg,10041518
