group,krs,value
3- bis Unter-6-Jährige,9761,0.513
3- bis Unter-6-Jährige,9762,0.385
3- bis Unter-6-Jährige,9763,0.478
3- bis Unter-6-Jährige,9764,0.270
3- bis Unter-6-Jährige,9771,0.269
3- bis Unter-6-Jährige,9772,0.268
3- bis Unter-6-Jährige,9773,0.119
3- bis Unter-6-Jährige,9774,0.215
3- bis Unter-6-Jährige,9775,0.463
3- bis Unter-6-Jährige,9776,0.262
3- bis Unter-6-Jährige,9777,0.163
3- bis Unter-6-Jährige,9778,0.204
3- bis Unter-6-Jährige,9779,0.254
3- bis Unter-6-Jährige,9780,0.266
3- bis Unter-6-Jährige,10041,0.480
3- bis Unter-6-Jährige,10042,0.489
3- bis Unter-6-Jährige,10043,0.430
3- bis Unter-6-Jährige,10044,0.489
3- bis Unter-6-Jährige,10045,0.615
3- bis Unter-6-Jährige,10046,0.381
3- bis Unter-6-Jährige,11000,0.608
3- bis Unter-6-Jährige,12051,0.688
3- bis Unter-6-Jährige,12052,0.745
3- bis Unter-6-Jährige,12053,0.624
3- bis Unter-6-Jährige,12054,0.771
3- bis Unter-6-Jährige,12060,0.669
3- bis Unter-6-Jährige,12061,0.637
3- bis Unter-6-Jährige,12062,0.619
3- bis Unter-6-Jährige,12063,0.565
3- bis Unter-6-Jährige,12064,0.599
3- bis Unter-6-Jährige,12065,0.596
3- bis Unter-6-Jährige,12066,0.588
3- bis Unter-6-Jährige,12067,0.555
3- bis Unter-6-Jährige,12068,0.524
3- bis Unter-6-Jährige,12069,0.690
3- bis Unter-6-Jährige,12070,0.512
3- bis Unter-6-Jährige,12071,0.609
3- bis Unter-6-Jährige,12072,0.650
3- bis Unter-6-Jährige,12073,0.508
3- bis Unter-6-Jährige,13003,0.798
3- bis Unter-6-Jährige,13004,0.666
3- bis Unter-6-Jährige,13071,0.674
3- bis Unter-6-Jährige,13072,0.669
3- bis Unter-6-Jährige,13073,0.665
3- bis Unter-6-Jährige,13074,0.701
3- bis Unter-6-Jährige,13075,0.642
3- bis Unter-6-Jährige,13076,0.603
3- bis Unter-6-Jährige,14511,0.846
3- bis Unter-6-Jährige,14521,0.679
3- bis Unter-6-Jährige,14522,0.767
3- bis Unter-6-Jährige,14523,0.721
3- bis Unter-6-Jährige,14524,0.803
3- bis Unter-6-Jährige,14612,0.914
3- bis Unter-6-Jährige,14625,0.773
3- bis Unter-6-Jährige,14626,0.743
3- bis Unter-6-Jährige,14627,0.802
3- bis Unter-6-Jährige,14628,0.875
3- bis Unter-6-Jährige,14713,0.809
3- bis Unter-6-Jährige,14729,0.853
3- bis Unter-6-Jährige,14730,0.765
3- bis Unter-6-Jährige,15001,0.829
3- bis Unter-6-Jährige,15002,0.791
3- bis Unter-6-Jährige,15003,0.921
3- bis Unter-6-Jährige,15081,0.780
3- bis Unter-6-Jährige,15082,0.791
3- bis Unter-6-Jährige,15083,0.897
3- bis Unter-6-Jährige,15084,0.826
3- bis Unter-6-Jährige,15085,0.819
3- bis Unter-6-Jährige,15086,0.833
3- bis Unter-6-Jährige,15087,0.674
3- bis Unter-6-Jährige,15088,0.831
3- bis Unter-6-Jährige,15089,0.724
3- bis Unter-6-Jährige,15090,0.761
3- bis Unter-6-Jährige,15091,0.858
3- bis Unter-6-Jährige,16051,0.944
3- bis Unter-6-Jährige,16052,0.872
3- bis Unter-6-Jährige,16053,0.981
3- bis Unter-6-Jährige,16054,0.711
3- bis Unter-6-Jährige,16055,0.993
3- bis Unter-6-Jährige,16056,0.887
3- bis Unter-6-Jährige,16061,0.933
3- bis Unter-6-Jährige,16062,0.908
3- bis Unter-6-Jährige,16063,0.891
3- bis Unter-6-Jährige,16064,0.888
3- bis Unter-6-Jährige,16065,0.863
3- bis Unter-6-Jährige,16066,0.867
3- bis Unter-6-Jährige,16067,0.887
3- bis Unter-6-Jährige,16068,0.919
3- bis Unter-6-Jährige,16069,0.942
3- bis Unter-6-Jährige,16070,0.874
3- bis Unter-6-Jährige,16071,0.903
3- bis Unter-6-Jährige,16072,0.928
3- bis Unter-6-Jährige,16073,0.954
3- bis Unter-6-Jährige,16074,0.855
3- bis Unter-6-Jährige,16075,0.917
3- bis Unter-6-Jährige,16076,0.894
3- bis Unter-6-Jährige,16077,0.921
3- bis Unter-6-Jährige,DE,0.448
