group,krs,value
Unter-3-Jährige,7231,0.177
Unter-3-Jährige,7232,0.113
Unter-3-Jährige,7233,0.128
Unter-3-Jährige,7235,0.239
Unter-3-Jährige,7311,0.090
Unter-3-Jährige,7312,0.174
Unter-3-Jährige,7313,0.240
Unter-3-Jährige,7314,0.142
Unter-3-Jährige,7315,0.230
Unter-3-Jährige,7316,0.157
Unter-3-Jährige,7317,0.125
Unter-3-Jährige,7318,0.213
Unter-3-Jährige,7319,0.111
Unter-3-Jährige,7320,0.127
Unter-3-Jährige,7331,0.141
Unter-3-Jährige,7332,0.177
Unter-3-Jährige,7333,0.126
Unter-3-Jährige,7334,0.135
Unter-3-Jährige,7335,0.160
Unter-3-Jährige,7336,0.138
Unter-3-Jährige,7337,0.139
Unter-3-Jährige,7338,0.185
Unter-3-Jährige,7339,0.225
Unter-3-Jährige,7340,0.181
Unter-3-Jährige,8111,0.302
Unter-3-Jährige,8115,0.098
Unter-3-Jährige,8116,0.108
Unter-3-Jährige,8117,0.064
Unter-3-Jährige,8118,0.121
Unter-3-Jährige,8119,0.076
Unter-3-Jährige,8121,0.139
Unter-3-Jährige,8125,0.078
Unter-3-Jährige,8126,0.058
Unter-3-Jährige,8127,0.053
Unter-3-Jährige,8128,0.038
Unter-3-Jährige,8135,0.068
Unter-3-Jährige,8136,0.051
Unter-3-Jährige,8211,0.133
Unter-3-Jährige,8212,0.206
Unter-3-Jährige,8215,0.068
Unter-3-Jährige,8216,0.073
Unter-3-Jährige,8221,0.285
Unter-3-Jährige,8222,0.232
Unter-3-Jährige,8225,0.029
Unter-3-Jährige,8226,0.128
Unter-3-Jährige,8231,0.046
Unter-3-Jährige,8235,0.046
Unter-3-Jährige,8236,0.046
Unter-3-Jährige,8237,0.043
Unter-3-Jährige,8311,0.171
Unter-3-Jährige,8315,0.059
Unter-3-Jährige,8316,0.074
Unter-3-Jährige,8317,0.069
Unter-3-Jährige,8325,0.043
Unter-3-Jährige,8326,0.061
Unter-3-Jährige,8327,0.055
Unter-3-Jährige,8335,0.102
Unter-3-Jährige,8336,0.101
Unter-3-Jährige,8337,0.051
Unter-3-Jährige,8415,0.084
Unter-3-Jährige,8416,0.126
Unter-3-Jährige,8417,0.051
Unter-3-Jährige,8421,0.177
Unter-3-Jährige,8425,0.062
Unter-3-Jährige,8426,0.067
Unter-3-Jährige,8435,0.079
Unter-3-Jährige,8436,0.064
Unter-3-Jährige,8437,0.053
Unter-3-Jährige,9161,0.126
Unter-3-Jährige,9162,0.201
Unter-3-Jährige,9163,0.081
Unter-3-Jährige,9171,0.035
Unter-3-Jährige,9172,0.030
Unter-3-Jährige,9173,0.077
Unter-3-Jährige,9174,0.141
Unter-3-Jährige,9175,0.149
Unter-3-Jährige,9176,0.073
Unter-3-Jährige,9177,0.114
Unter-3-Jährige,9178,0.099
Unter-3-Jährige,9179,0.168
Unter-3-Jährige,9180,0.036
Unter-3-Jährige,9181,0.074
Unter-3-Jährige,9182,0.112
Unter-3-Jährige,9183,0.057
Unter-3-Jährige,9184,0.226
Unter-3-Jährige,9185,0.063
Unter-3-Jährige,9186,0.090
Unter-3-Jährige,9187,0.058
Unter-3-Jährige,9188,0.173
Unter-3-Jährige,9189,0.030
Unter-3-Jährige,9190,0.063
Unter-3-Jährige,9261,0.114
Unter-3-Jährige,9262,0.080
Unter-3-Jährige,9263,0.030
Unter-3-Jährige,9271,0.017
Unter-3-Jährige,9272,0.009
Unter-3-Jährige,9273,0.056
Unter-3-Jährige,9274,0.075
Unter-3-Jährige,9275,0.018
Unter-3-Jährige,9276,0.013
Unter-3-Jährige,9277,0.038
Unter-3-Jährige,9278,0.030
Unter-3-Jährige,9279,0.042
Unter-3-Jährige,9361,0.063
Unter-3-Jährige,9362,0.089
Unter-3-Jährige,9363,0.059
Unter-3-Jährige,9371,0.046
Unter-3-Jährige,9372,0.024
Unter-3-Jährige,9373,0.044
Unter-3-Jährige,9374,0.041
Unter-3-Jährige,9375,0.033
Unter-3-Jährige,9376,0.039
Unter-3-Jährige,9377,0.045
Unter-3-Jährige,9461,0.093
Unter-3-Jährige,9462,0.096
Unter-3-Jährige,9463,0.161
Unter-3-Jährige,9464,0.084
Unter-3-Jährige,9471,0.075
Unter-3-Jährige,9472,0.075
Unter-3-Jährige,9473,0.157
Unter-3-Jährige,9474,0.084
Unter-3-Jährige,9475,0.103
Unter-3-Jährige,9476,0.117
Unter-3-Jährige,9477,0.127
Unter-3-Jährige,9478,0.097
Unter-3-Jährige,9479,0.127
Unter-3-Jährige,9561,0.063
Unter-3-Jährige,9562,0.183
Unter-3-Jährige,9563,0.091
Unter-3-Jährige,9564,0.132
Unter-3-Jährige,9565,0.066
Unter-3-Jährige,9571,0.072
Unter-3-Jährige,9572,0.121
Unter-3-Jährige,9573,0.130
Unter-3-Jährige,9574,0.135
Unter-3-Jährige,9575,0.089
Unter-3-Jährige,9576,0.088
Unter-3-Jährige,9577,0.051
Unter-3-Jährige,9661,0.142
Unter-3-Jährige,9662,0.075
Unter-3-Jährige,9663,0.121
Unter-3-Jährige,9671,0.103
Unter-3-Jährige,9672,0.074
Unter-3-Jährige,9673,0.094
Unter-3-Jährige,9674,0.077
Unter-3-Jährige,9675,0.086
Unter-3-Jährige,9676,0.069
Unter-3-Jährige,9677,0.076
Unter-3-Jährige,9678,0.082
Unter-3-Jährige,9679,0.082
Unter-3-Jährige,9761,0.127
Unter-3-Jährige,9762,0.033
Unter-3-Jährige,9763,0.092
Unter-3-Jährige,9764,0.042
Unter-3-Jährige,9771,0.071
Unter-3-Jährige,9772,0.074
Unter-3-Jährige,9773,0.029
Unter-3-Jährige,9774,0.048
Unter-3-Jährige,9775,0.097
Unter-3-Jährige,9776,0.056
Unter-3-Jährige,9777,0.039
Unter-3-Jährige,9778,0.034
Unter-3-Jährige,9779,0.073
Unter-3-Jährige,9780,0.049
Unter-3-Jährige,10041,0.221
Unter-3-Jährige,10042,0.253
Unter-3-Jährige,10043,0.218
Unter-3-Jährige,10044,0.207
Unter-3-Jährige,10045,0.270
Unter-3-Jährige,10046,0.189
Unter-3-Jährige,11000,0.303
Unter-3-Jährige,12051,0.417
Unter-3-Jährige,12052,0.426
Unter-3-Jährige,12053,0.397
Unter-3-Jährige,12054,0.447
Unter-3-Jährige,12060,0.424
Unter-3-Jährige,12061,0.395
Unter-3-Jährige,12062,0.383
Unter-3-Jährige,12063,0.343
Unter-3-Jährige,12064,0.388
Unter-3-Jährige,12065,0.353
Unter-3-Jährige,12066,0.355
Unter-3-Jährige,12067,0.368
Unter-3-Jährige,12068,0.300
Unter-3-Jährige,12069,0.428
Unter-3-Jährige,12070,0.306
Unter-3-Jährige,12071,0.405
Unter-3-Jährige,12072,0.404
Unter-3-Jährige,12073,0.303
Unter-3-Jährige,13003,0.467
Unter-3-Jährige,13004,0.399
Unter-3-Jährige,13071,0.401
Unter-3-Jährige,13072,0.434
Unter-3-Jährige,13073,0.401
Unter-3-Jährige,13074,0.417
Unter-3-Jährige,13075,0.390
Unter-3-Jährige,13076,0.381
Unter-3-Jährige,14511,0.410
Unter-3-Jährige,14521,0.332
Unter-3-Jährige,14522,0.420
Unter-3-Jährige,14523,0.348
Unter-3-Jährige,14524,0.412
Unter-3-Jährige,14612,0.478
Unter-3-Jährige,14625,0.427
Unter-3-Jährige,14626,0.379
Unter-3-Jährige,14627,0.430
Unter-3-Jährige,14628,0.462
Unter-3-Jährige,14713,0.423
Unter-3-Jährige,14729,0.478
Unter-3-Jährige,14730,0.443
Unter-3-Jährige,15001,0.461
Unter-3-Jährige,15002,0.375
Unter-3-Jährige,15003,0.515
Unter-3-Jährige,15081,0.444
Unter-3-Jährige,15082,0.454
Unter-3-Jährige,15083,0.533
Unter-3-Jährige,15084,0.478
Unter-3-Jährige,15085,0.463
