KREG,category,year,value
7331000,HAUS,2016,1530.558226
7332000,HAUS,2016,1596.652212
7333000,HAUS,2016,1723.264368
7334000,HAUS,2016,1661.394737
7335000,HAUS,2016,1519.171375
7336000,HAUS,2016,1557.868132
7337000,HAUS,2016,1504.390244
7338000,HAUS,2016,1642.6534
7339000,HAUS,2016,1543.501887
7340000,HAUS,2016,1508.557522
8111000,HAUS,2016,1591.789474
8115000,HAUS,2016,1656.10177
8116000,HAUS,2016,1708.078004
8117000,HAUS,2016,1713.130137
8118000,HAUS,2016,1654.753222
8119000,HAUS,2016,1776.892704
8121000,HAUS,2016,1536.423077
8125000,HAUS,2016,1658.690176
8126000,HAUS,2016,1676.671803
8127000,HAUS,2016,1565.00207
8128000,HAUS,2016,1509.837775
8135000,HAUS,2016,1452.326761
8136000,HAUS,2016,1594.851229
8212000,HAUS,2016,1611.012081
8215000,HAUS,2016,1713.26713
8216000,HAUS,2016,1572.562217
8221000,HAUS,2016,1473.897304
8222000,HAUS,2016,1431.236277
8225000,HAUS,2016,1724.297018
8226000,HAUS,2016,1557.387505
8231000,HAUS,2016,1420.130952
8235000,HAUS,2016,1674.147945
8236000,HAUS,2016,1737.470852
8237000,HAUS,2016,1705.881481
8311000,HAUS,2016,1120.539586
8315000,HAUS,2016,1491.144543
8316000,HAUS,2016,1521.028571
8317000,HAUS,2016,1522.487179
8325000,HAUS,2016,1662.53211
8326000,HAUS,2016,1575.208254
8327000,HAUS,2016,1819.013514
8335000,HAUS,2016,1490.72973
8336000,HAUS,2016,1537.402062
8337000,HAUS,2016,1790.905149
8415000,HAUS,2016,1555.418182
8416000,HAUS,2016,1564.70799
8417000,HAUS,2016,1787.625899
8421000,HAUS,2016,1383.541547
8425000,HAUS,2016,1528.315152
8426000,HAUS,2016,1570.62268
8435000,HAUS,2016,1449.038062
8436000,HAUS,2016,1529.661111
8437000,HAUS,2016,1562.275229
9161000,HAUS,2016,1578.337349
9162000,HAUS,2016,1347.075618
9171000,HAUS,2016,1513.591549
9172000,HAUS,2016,1263.509202
9173000,HAUS,2016,1359.118457
9174000,HAUS,2016,1648.214085
9175000,HAUS,2016,1691.197492
9176000,HAUS,2016,1736.368601
9177000,HAUS,2016,1627.641975
9178000,HAUS,2016,1649.946731
9179000,HAUS,2016,1630.062016
9180000,HAUS,2016,1101.679487
9181000,HAUS,2016,1498.296774
9182000,HAUS,2016,1290.306667
9183000,HAUS,2016,1437.081433
9184000,HAUS,2016,1722.121604
9185000,HAUS,2016,1619.134199
9186000,HAUS,2016,1706.582456
9187000,HAUS,2016,1359.734783
9188000,HAUS,2016,1280.320388
9189000,HAUS,2016,1439.146444
9190000,HAUS,2016,1298.910891
9271000,HAUS,2016,1502.584416
9272000,HAUS,2016,1615.067358
9273000,HAUS,2016,1447.142857
9274000,HAUS,2016,1550.021201
9275000,HAUS,2016,1249.925926
9276000,HAUS,2016,1452.666667
9277000,HAUS,2016,1486.339623
9278000,HAUS,2016,1469.326531
9279000,HAUS,2016,1519.512195
9362000,HAUS,2016,1323.646512
9371000,HAUS,2016,1424.433498
9372000,HAUS,2016,1430.045455
9373000,HAUS,2016,1637.777778
9374000,HAUS,2016,1405.138462
9375000,HAUS,2016,1518.904665
9376000,HAUS,2016,1404.537897
9377000,HAUS,2016,1703.488372
9471000,HAUS,2016,1483.883562
9472000,HAUS,2016,1379.381605
9473000,HAUS,2016,1659.441558
9474000,HAUS,2016,1549.659864
9475000,HAUS,2016,1329.556604
9476000,HAUS,2016,1511.066667
9477000,HAUS,2016,1395.019231
9478000,HAUS,2016,1613.090909
9479000,HAUS,2016,1553.502646
9562000,HAUS,2016,1382.116883
9563000,HAUS,2016,1509.552795
9564000,HAUS,2016,1405.531557
9571000,HAUS,2016,1652.949153
9572000,HAUS,2016,1571.952663
9573000,HAUS,2016,1731.513308
9574000,HAUS,2016,1557.915493
9575000,HAUS,2016,1392.284698
9576000,HAUS,2016,1516.953704
9577000,HAUS,2016,1468.539683
9663000,HAUS,2016,1180.228029
9671000,HAUS,2016,1593.01157
9672000,HAUS,2016,1362.927152
9673000,HAUS,2016,1403.982379
9674000,HAUS,2016,1602.895238
9675000,HAUS,2016,1525.724138
9676000,HAUS,2016,1514.094675
9677000,HAUS,2016,1426.798867
9678000,HAUS,2016,1605.407767
9679000,HAUS,2016,1531.278846
9761000,HAUS,2016,1583.723944
9771000,HAUS,2016,1539.214286
9772000,HAUS,2016,1505.097674
9773000,HAUS,2016,1654.477876
9774000,HAUS,2016,1597.744262
