id,name,area,type,value,hoursGt200,ags,lon,lat
DEBW029,Aalen,vorstädtisches Gebiet,Hintergrund,23,0,08136088,10.096292,48.847917
DEBW076,Baden-Baden,vorstädtisches Gebiet,Hintergrund,16,0,08211000,8.220214,48.773072
DEBW042,Bernhausen,vorstädtisches Gebiet,Hintergrund,31,0,08116077,9.227769,48.678069
DEBW046,Biberach,vorstädtisches Gebiet,Hintergrund,18,0,08426021,9.800325,48.089886
DEBW004,Eggenstein,ländlich stadtnah,Hintergrund,24,0,08215102,8.406660,49.076550
DEBW154,Freiberg Benninger Straße,vorstädtisches Gebiet,Verkehr,45,---,08118078,9.204340,48.937950
DEBW084,Freiburg,städtisches Gebiet,Hintergrund,19,0,08311000,7.832122,48.001511
DEBW122,Freiburg Schwarzwaldstraße (V),städtisches Gebiet,Verkehr,56,0,08311000,7.859920,47.988200
DEBW127,Freiburg Zähringer Straße (S),städtisches Gebiet,Verkehr,41,---,08311000,7.855020,48.013430
DEBW038,Friedrichshafen,städtisches Gebiet,Hintergrund,26,0,08435016,9.485675,47.660056
DEBW112,Gaertringen,vorstädtisches Gebiet,Hintergrund,15,0,08115015,8.904442,48.645608
DEBW009,Heidelberg,städtisches Gebiet,Hintergrund,27,0,08221000,8.676700,49.419528
DEBW151,Heidelberg Mittermaierstraße (S),städtisches Gebiet,Verkehr,45,---,08221000,8.677000,49.407250
DEBW145,Heidenheim Wilhelmstraße (S),vorstädtisches Gebiet,Verkehr,48,---,08135019,10.150650,48.679420
DEBW015,Heilbronn,vorstädtisches Gebiet,Hintergrund,30,0,08121000,9.224786,49.165508
DEBW152,Heilbronn Weinsberger Straße Ost (S),städtisches Gebiet,Verkehr,64,3,08121000,9.225890,49.146000
DEBW135,Herrenberg Hindenburger Straße (S),städtisches Gebiet,Verkehr,52,---,08115021,8.869120,48.594760
DEBW133,Ilsfeld König-Wilhelm-Straße (S),vorstädtisches Gebiet,Verkehr,46,---,08125046,9.244020,49.055130
