lon,lat,center,name
8.6428899008449,49.3053129390983,Mittelzentrum,"Walldorf, Stadt"
8.70328898677215,49.2962150044351,Mittelzentrum,"Wiesloch, Stadt"
12.711193989531,50.8014109923213,Mittelzentrum,"Hohenstein-Ernstthal, Stadt"
7.69601096715634,47.9123078615672,Mittelzentrum,"Bad Krozingen, Stadt"
12.739494029581,50.5574109917797,Mittelzentrum,"Lauter-Bernsbach, Stadt"
8.08080192955027,48.2786098774665,Mittelzentrum,"Haslach im Kinzigtal, Stadt"
8.16761399499153,48.2825510615573,Mittelzentrum,"Hausach, Stadt"
8.22534397962828,48.300274012565,Mittelzentrum,"Wolfach, Stadt"
12.4051219601382,50.5309180080482,Mittelzentrum,"Rodewisch, Stadt"
12.3660029000789,50.475512997387,Mittelzentrum,"Falkenstein/Vogtl., Stadt"
12.3941030063729,50.4838140122728,Mittelzentrum,Ellefeld
12.402204996395,50.5121920054544,Mittelzentrum,"Auerbach/Vogtl., Stadt"
9.78266299098024,48.4143141000077,Mittelzentrum,"Blaubeuren, Stadt"
9.68786602782147,48.4887118790705,Mittelzentrum,"Laichingen, Stadt"
12.7947420271866,50.5394480138283,Mittelzentrum,"Schwarzenberg/Erzgeb., Stadt"
12.6411788975739,50.5883749924283,Mittelzentrum,"Schneeberg, Stadt"
12.6789779391389,48.2247731082233,Mittelzentrum,"Altetting, Stadt"
12.6940890156331,48.2403559978647,Mittelzentrum,"Neuktting, Stadt"
12.9353109339929,47.9383798943859,Mittelzentrum,"Laufen, Stadt"
11.4723269991407,47.8707161361074,Mittelzentrum,"Geretsried, Stadt"
11.4195280247685,47.9122120583893,Mittelzentrum,"Wolfratshausen, Stadt"
11.9729159581172,48.0751110538365,Mittelzentrum,"Ebersberg, Stadt"
11.9664170100937,48.0448111298341,Mittelzentrum,"Grafing b.Mtnchen, Stadt"
11.6228236263901,48.2972132848019,Mittelzentrum,Eching
12.7364149260333,50.622162010436,Mittelzentrum,"Lohnitz, Stadt"
11.6663228967195,48.3141153117219,Mittelzentrum,Neufahrn b.Freising
12.6982458966943,50.6156770143979,Mittelzentrum,Bad Schlema
11.7248339649196,47.7131960759814,Mittelzentrum,Bad Wiessee
11.7399210161423,47.7496150601666,Mittelzentrum,Gmund a.Tegernsee
11.8340199785992,47.7497181370767,Mittelzentrum,Hausham
11.8340440361796,47.7891809859588,Mittelzentrum,"Miesbach, Stadt"
11.7707429550967,47.6911199230144,Mittelzentrum,Rottach-Egern
11.7609739688167,47.7059288964773,Mittelzentrum,"Tegernsee, Stadt"
12.5927030188917,47.9673120049553,Mittelzentrum,"Traunreut, Stadt"
12.7073050731302,50.5957830118113,Mittelzentrum,"Aue, Stadt"
12.5566529823098,48.0270769114263,Mittelzentrum,"Trostberg, Stadt"
10.9201859896014,47.7972339007132,Mittelzentrum,"Peiting, Markt"
10.8991529996119,47.8156699710023,Mittelzentrum,"Schongau, Stadt"
13.6007319120058,48.7306829773754,Mittelzentrum,"Waldkirchen, Stadt"
11.8527180112622,48.81421701097,Mittelzentrum,"Abensberg, Stadt"
