percentile,value
1,20
2,25
3,40
4,50
5,50
6,60
7,60
8,75
9,100
10,100
11,120
12,120
13,120
14,125
15,150
16,180
17,180
18,180
19,180
20,210
21,240
22,240
23,240
24,250
25,260
26,260
27,300
28,300
29,300
30,300
31,300
32,360
33,360
34,375
35,390
36,480
37,480
38,480
39,500
40,520
41,520
42,520
43,520
44,520
45,600
46,600
47,600
48,600
49,600
50,600
51,600
52,720
53,720
54,780
55,780
56,780
57,780
58,780
59,780
60,900
61,900
62,910
63,1040
64,1040
65,1040
66,1040
67,1040
68,1040
69,1200
70,1200
71,1200
72,1300
73,1300
74,1300
75,1300
76,1300
77,1440
78,1560
79,1560
80,1560
81,1560
82,1800
83,1820
84,2000
85,2080
86,2080
87,2400
88,2600
89,2600
90,2600
91,2860
92,3120
93,3650
94,3900
95,3900
96,5200
97,5475
98,7300
99,10920
