year,value
1991,25491.0684
1992,25809.2247
1993,25423.5807
1994,25982.7645
1995,26381.2633
1996,26548.3757
1997,27020.7896
1998,27579.9734
1999,28135.9435
2000,28955.437
2001,29424.6372
2002,29405.355
2003,29202.8919
2004,29582.1085
2005,29832.7771
2006,30999.3502
2007,32082.3671
2008,32519.4303
2009,30800.1008
2010,32137
2011,33316.4279
2012,33416.0526
2013,33489.9677
2014,33882.0391
2015,34171.2721
