category,facet,facet_value,concern,value
Allgemein,Alter,75 Jahre oder älter,gar nicht,0.269
Allgemein,Alter,75 Jahre oder älter,etwas,0.374
Allgemein,Alter,75 Jahre oder älter,ziemlich,0.248
Allgemein,Alter,75 Jahre oder älter,sehr stark,0.109
Körperverletzung,Alter,16-24 Jahre,gar nicht,0.461
Körperverletzung,Alter,16-24 Jahre,etwas,0.303
Körperverletzung,Alter,16-24 Jahre,ziemlich,0.098
Körperverletzung,Alter,16-24 Jahre,sehr stark,0.139
Körperverletzung,Alter,25-34 Jahre,gar nicht,0.503
Körperverletzung,Alter,25-34 Jahre,etwas,0.3
Körperverletzung,Alter,25-34 Jahre,ziemlich,0.066
Körperverletzung,Alter,25-34 Jahre,sehr stark,0.131
Körperverletzung,Alter,35-44 Jahre,gar nicht,0.545
Körperverletzung,Alter,35-44 Jahre,etwas,0.29
Körperverletzung,Alter,35-44 Jahre,ziemlich,0.063
Körperverletzung,Alter,35-44 Jahre,sehr stark,0.102
Körperverletzung,Alter,45-54 Jahre,gar nicht,0.586
Körperverletzung,Alter,45-54 Jahre,etwas,0.285
Körperverletzung,Alter,45-54 Jahre,ziemlich,0.058
Körperverletzung,Alter,45-54 Jahre,sehr stark,0.071
Körperverletzung,Alter,55-64 Jahre,gar nicht,0.546
Körperverletzung,Alter,55-64 Jahre,etwas,0.318
Körperverletzung,Alter,55-64 Jahre,ziemlich,0.065
Körperverletzung,Alter,55-64 Jahre,sehr stark,0.071
Körperverletzung,Alter,65-74 Jahre,gar nicht,0.546
Körperverletzung,Alter,65-74 Jahre,etwas,0.3
Körperverletzung,Alter,65-74 Jahre,ziemlich,0.077
Körperverletzung,Alter,65-74 Jahre,sehr stark,0.077
Körperverletzung,Alter,75 Jahre oder älter,gar nicht,0.522
Körperverletzung,Alter,75 Jahre oder älter,etwas,0.31
Körperverletzung,Alter,75 Jahre oder älter,ziemlich,0.105
Körperverletzung,Alter,75 Jahre oder älter,sehr stark,0.063
Einbruch,Alter,16-24 Jahre,gar nicht,0.457
Einbruch,Alter,16-24 Jahre,etwas,0.275
Einbruch,Alter,16-24 Jahre,ziemlich,0.088
Einbruch,Alter,16-24 Jahre,sehr stark,0.181
Einbruch,Alter,25-34 Jahre,gar nicht,0.427
Einbruch,Alter,25-34 Jahre,etwas,0.368
Einbruch,Alter,25-34 Jahre,ziemlich,0.064
Einbruch,Alter,25-34 Jahre,sehr stark,0.142
Einbruch,Alter,35-44 Jahre,gar nicht,0.377
Einbruch,Alter,35-44 Jahre,etwas,0.418
Einbruch,Alter,35-44 Jahre,ziemlich,0.085
Einbruch,Alter,35-44 Jahre,sehr stark,0.12
Einbruch,Alter,45-54 Jahre,gar nicht,0.42
Einbruch,Alter,45-54 Jahre,etwas,0.421
Einbruch,Alter,45-54 Jahre,ziemlich,0.069
Einbruch,Alter,45-54 Jahre,sehr stark,0.09
Einbruch,Alter,55-64 Jahre,gar nicht,0.44
Einbruch,Alter,55-64 Jahre,etwas,0.411
Einbruch,Alter,55-64 Jahre,ziemlich,0.068
Einbruch,Alter,55-64 Jahre,sehr stark,0.082
Einbruch,Alter,65-74 Jahre,gar nicht,0.421
Einbruch,Alter,65-74 Jahre,etwas,0.418
Einbruch,Alter,65-74 Jahre,ziemlich,0.082
Einbruch,Alter,65-74 Jahre,sehr stark,0.079
Einbruch,Alter,75 Jahre oder älter,gar nicht,0.473
Einbruch,Alter,75 Jahre oder älter,etwas,0.383
Einbruch,Alter,75 Jahre oder älter,ziemlich,0.089
Einbruch,Alter,75 Jahre oder älter,sehr stark,0.055
Raub,Alter,16-24 Jahre,gar nicht,0.423
Raub,Alter,16-24 Jahre,etwas,0.299
Raub,Alter,16-24 Jahre,ziemlich,0.083
Raub,Alter,16-24 Jahre,sehr stark,0.195
Raub,Alter,25-34 Jahre,gar nicht,0.468
Raub,Alter,25-34 Jahre,etwas,0.329
Raub,Alter,25-34 Jahre,ziemlich,0.056
Raub,Alter,25-34 Jahre,sehr stark,0.147
Raub,Alter,35-44 Jahre,gar nicht,0.478
Raub,Alter,35-44 Jahre,etwas,0.337
Raub,Alter,35-44 Jahre,ziemlich,0.06
Raub,Alter,35-44 Jahre,sehr stark,0.125
Raub,Alter,45-54 Jahre,gar nicht,0.472
Raub,Alter,45-54 Jahre,etwas,0.366
Raub,Alter,45-54 Jahre,ziemlich,0.076
Raub,Alter,45-54 Jahre,sehr stark,0.086
Raub,Alter,55-64 Jahre,gar nicht,0.47
Raub,Alter,55-64 Jahre,etwas,0.392
Raub,Alter,55-64 Jahre,ziemlich,0.068
Raub,Alter,55-64 Jahre,sehr stark,0.071
Raub,Alter,65-74 Jahre,gar nicht,0.44
Raub,Alter,65-74 Jahre,etwas,0.387
Raub,Alter,65-74 Jahre,ziemlich,0.081
Raub,Alter,65-74 Jahre,sehr stark,0.092
Raub,Alter,75 Jahre oder älter,gar nicht,0.494
Raub,Alter,75 Jahre oder älter,etwas,0.339
