krs,year,value
1001,1995/97,76.60249926
1001,2013/15,78.35568152
1002,1995/97,76.68130346
1002,2013/15,79.81238544
1003,1995/97,76.49951333
1003,2013/15,79.65439156
1004,1995/97,76.27186961
1004,2013/15,79.18610802
1051,1995/97,76.46978333
1051,2013/15,79.28282315
1053,1995/97,77.58560934
1053,2013/15,80.79812689
1054,1995/97,77.16390771
1054,2013/15,80.18281885
1055,1995/97,77.17224601
1055,2013/15,80.36467621
1056,1995/97,77.67959592
1056,2013/15,80.92195597
1057,1995/97,78.02360263
1057,2013/15,81.51345086
1058,1995/97,77.52132391
1058,2013/15,80.86893714
1059,1995/97,76.98902394
1059,2013/15,80.15120252
1060,1995/97,77.15792839
1060,2013/15,80.9323637
1061,1995/97,76.90610168
1061,2013/15,79.68852654
1062,1995/97,77.79040875
1062,2013/15,81.71517387
2000,1995/97,77.13147455
2000,2013/15,80.74248407
3101,1995/97,77.18035913
3101,2013/15,80.34103571
3102,1995/97,76.35258292
3102,2013/15,78.89355735
3103,1995/97,77.52475242
3103,2013/15,80.83984129
3151,1995/97,76.56776143
3151,2013/15,80.90581425
3152,1995/97,77.88469653
3152,2013/15,80.96928686
3153,1995/97,76.8031919
3153,2013/15,79.83657065
3154,1995/97,76.0666929
3154,2013/15,79.11628576
3155,1995/97,77.1116314
3155,2013/15,80.19714341
3156,1995/97,76.73364119
3156,2013/15,79.1833452
3157,1995/97,77.50304023
3157,2013/15,80.16024374
3158,1995/97,77.53204179
3158,2013/15,80.3515039
3241,1995/97,77.35645155
3241,2013/15,80.71002363
3251,1995/97,77.34221322
3251,2013/15,80.35001199
3252,1995/97,77.29891274
3252,2013/15,79.48889783
3254,1995/97,76.88848677
3254,2013/15,79.8049191
3255,1995/97,77.08640291
3255,2013/15,79.86138368
3256,1995/97,76.27950707
3256,2013/15,79.89705699
3257,1995/97,77.20516396
3257,2013/15,80.06954925
3351,1995/97,76.23976213
3351,2013/15,80.02564426
3352,1995/97,76.86494488
3352,2013/15,79.94961392
3353,1995/97,78.21230445
3353,2013/15,81.2895593
3354,1995/97,75.76084418
3354,2013/15,79.70936069
3355,1995/97,76.787634
3355,2013/15,80.15867162
3356,1995/97,76.62354954
3356,2013/15,80.42755221
3357,1995/97,76.68898654
3357,2013/15,80.22197917
3358,1995/97,77.26628174
3358,2013/15,80.35783019
3359,1995/97,76.3423856
3359,2013/15,80.47110079
3360,1995/97,76.95676138
3360,2013/15,79.42429994
3361,1995/97,76.81567202
3361,2013/15,80.96418338
3401,1995/97,77.09792672
3401,2013/15,80.32134854
3402,1995/97,76.9590698
3402,2013/15,78.50701913
3403,1995/97,77.93333925
3403,2013/15,80.77002212
3404,1995/97,77.72842205
3404,2013/15,80.82094634
3405,1995/97,77.30015942
3405,2013/15,79.36235042
3451,1995/97,77.94467813
3451,2013/15,81.07504628
3452,1995/97,76.729733
3452,2013/15,78.92428076
3453,1995/97,76.67122823
3453,2013/15,80.09541756
3454,1995/97,76.98577628
3454,2013/15,80.01113687
3455,1995/97,77.5440798
3455,2013/15,80.57394134
3456,1995/97,77.33061262
3456,2013/15,81.05483966
3457,1995/97,76.04465519
3457,2013/15,79.31524696
3458,1995/97,77.22240769
3458,2013/15,80.56637406
3459,1995/97,77.2380464
3459,2013/15,80.96520239
3460,1995/97,77.26844941
3460,2013/15,81.5802824
3461,1995/97,77.10844509
3461,2013/15,79.72406112
3462,1995/97,76.30095105
3462,2013/15,80.02338996
4011,1995/97,76.78702295
4011,2013/15,80.12070852
4012,1995/97,75.64062278
4012,2013/15,77.55304295
5111,1995/97,76.35449193
5111,2013/15,80.62033449
5112,1995/97,75.95516067
5112,2013/15,78.85518831
5113,1995/97,76.37192304
5113,2013/15,79.25859763
5114,1995/97,77.30390091
5114,2013/15,79.85825017
5116,1995/97,76.18333031
5116,2013/15,79.33622674
5117,1995/97,76.95908288
5117,2013/15,80.15032406
5119,1995/97,75.90448062
5119,2013/15,78.71237147
5120,1995/97,76.40427067
5120,2013/15,79.60734058
5122,1995/97,77.13084918
5122,2013/15,80.00912026
5124,1995/97,76.74349747
5124,2013/15,79.80762985
5154,1995/97,76.60993757
5154,2013/15,80.16779722
5158,1995/97,77.52552926
5158,2013/15,80.83781743
5162,1995/97,77.53694431
5162,2013/15,80.82449872
5166,1995/97,77.03178595
5166,2013/15,80.39188878
5170,1995/97,76.89403077
5170,2013/15,80.35273219
5314,1995/97,79.09128682
5314,2013/15,82.00606223
5315,1995/97,76.73466536
5315,2013/15,80.49286034
5316,1995/97,77.18869008
5316,2013/15,80.90333047
5334,1995/97,77.13048079
5334,2013/15,80.68517659
5358,1995/97,76.57785052
5358,2013/15,79.85409046
5362,1995/97,76.98209774
5362,2013/15,80.67475262
5366,1995/97,76.48099509
5366,2013/15,79.80206992
5370,1995/97,76.77337256
5370,2013/15,80.16322966
5374,1995/97,77.14952562
5374,2013/15,80.08005574
5378,1995/97,78.14519843
5378,2013/15,81.54926634
5382,1995/97,77.54730817
5382,2013/15,81.40895123
5512,1995/97,76.50563047
5512,2013/15,79.57044127
5513,1995/97,75.15718989
5513,2013/15,78.30333912
5515,1995/97,78.75190137
5515,2013/15,82.14720032
5554,1995/97,77.59998639
5554,2013/15,80.62243828
5558,1995/97,78.04603366
5558,2013/15,81.24005617
5562,1995/97,76.3247827
5562,2013/15,79.7440058
5566,1995/97,77.79331155
5566,2013/15,81.05824185
5570,1995/97,77.45818234
5570,2013/15,81.36609835
5711,1995/97,78.23732106
5711,2013/15,80.81303184
5754,1995/97,77.87444312
5754,2013/15,81.46346157
5758,1995/97,77.81261072
5758,2013/15,80.94778804
5762,1995/97,77.54314839
5762,2013/15,80.48309986
5766,1995/97,77.898438
5766,2013/15,80.66325148
5770,1995/97,77.38715404
5770,2013/15,80.76561002
5774,1995/97,77.63498011
5774,2013/15,81.21463368
5911,1995/97,76.20568846
5911,2013/15,79.67292677
5913,1995/97,76.23422209
5913,2013/15,79.06403719
5914,1995/97,77.05959126
5914,2013/15,78.81263226
5915,1995/97,76.39366122
5915,2013/15,79.47956175
5916,1995/97,76.35107147
5916,2013/15,78.53575289
5954,1995/97,76.90635307
5954,2013/15,79.85213015
5958,1995/97,77.49977107
5958,2013/15,80.25300922
5962,1995/97,76.80432121
5962,2013/15,79.79489694
5966,1995/97,77.47634308
5966,2013/15,80.45145006
5970,1995/97,77.3191353
5970,2013/15,80.15627991
5974,1995/97,76.58539723
5974,2013/15,79.91957624
5978,1995/97,76.68669643
5978,2013/15,79.7528236
6411,1995/97,78.15743709
