krs,year,value
1001,2005,0.182837
1001,2016,0.09033921
1002,2005,0.16898152
1002,2016,0.096622
1003,2005,0.18313384
1003,2016,0.09068264
1004,2005,0.15651755
1004,2016,0.09555103
1051,2005,0.13735037
1051,2016,0.07187138
1053,2005,0.09704342
1053,2016,0.05662387
1054,2005,0.10116503
1054,2016,0.0611699
1055,2005,0.1128572
1055,2016,0.05847165
1056,2005,0.10139366
1056,2016,0.05169731
1057,2005,0.09785904
1057,2016,0.05362258
1058,2005,0.09606693
1058,2016,0.04907099
1059,2005,0.10225698
1059,2016,0.06246525
1060,2005,0.08389611
1060,2016,0.04793374
1061,2005,0.11588732
1061,2016,0.06332539
1062,2005,0.07731706
1062,2016,0.03600576
2000,2005,0.11296742
2000,2016,0.07083198
3101,2005,0.1318148
3101,2016,0.06073629
3102,2005,0.14367895
3102,2016,0.10492423
3103,2005,0.1079242
3103,2016,0.05024872
3151,2005,0.10416306
3151,2016,0.04678839
3152,2005,0.12957322
3152,2016,0.0596493
3153,2005,0.13308535
3153,2016,0.07620947
3154,2005,0.12527034
3154,2016,0.06785132
3155,2005,0.12026989
3155,2016,0.06165716
3156,2005,0.14704692
3156,2016,0.0631611
3157,2005,0.11040193
3157,2016,0.05564763
3158,2005,0.1048998
3158,2016,0.05537153
3241,2005,0.14101022
3241,2016,0.0748798
3251,2005,0.08431173
3251,2016,0.04344846
3252,2005,0.14287549
3252,2016,0.07131609
3254,2005,0.11648607
3254,2016,0.06621318
3255,2005,0.14576262
3255,2016,0.07191158
3256,2005,0.11002306
3256,2016,0.0551783
3257,2005,0.12216407
3257,2016,0.06297153
3351,2005,0.12155373
3351,2016,0.07158732
3352,2005,0.12152338
3352,2016,0.05787738
3353,2005,0.07898421
3353,2016,0.04250891
3354,2005,0.16289688
3354,2016,0.08017512
3355,2005,0.11278404
3355,2016,0.05833548
3356,2005,0.09370569
3356,2016,0.03844533
3357,2005,0.08795799
3357,2016,0.04369283
3358,2005,0.11151935
3358,2016,0.0612809
3359,2005,0.10489794
3359,2016,0.05779786
3360,2005,0.12389008
3360,2016,0.06074168
3361,2005,0.0862488
3361,2016,0.05096523
3401,2005,0.17723002
3401,2016,0.10559747
3402,2005,0.14431957
3402,2016,0.08695025
3403,2005,0.14128674
3403,2016,0.07500941
3404,2005,0.1293314
3404,2016,0.07858042
3405,2005,0.18453413
3405,2016,0.1186516
3451,2005,0.08475877
3451,2016,0.04346057
3452,2005,0.12818779
3452,2016,0.07221233
3453,2005,0.09354003
3453,2016,0.05225268
3454,2005,0.09000924
3454,2016,0.03235896
