year,value
1991,19811
1992,20458
1993,20479
1994,20000
1995,19775
1996,19793
1997,19165
1998,19179
1999,19411
2000,19576
2001,19855
2002,19808
2003,19650
2004,19756
2005,19484
2006,19149
2007,18898
2008,18741
2009,18704
2010,19240
2011,19323
2012,19416
2013,19476
2014,19821
2015,20252
