facet,facet_value,year,value,confidence95_lower,confidence95_upper
Gesamt,,1991,0.2102187,0.2047641,0.2156733
Gesamt,,1992,0.222351,0.217952,0.2267499
Gesamt,,1993,0.2303314,0.2264152,0.2342476
Gesamt,,1994,0.2468898,0.241851,0.2519285
Gesamt,,1995,0.2483102,0.2448332,0.2517872
Gesamt,,1996,0.2573185,0.2535659,0.2610712
Gesamt,,1997,0.2638411,0.2600824,0.2675999
Gesamt,,1998,0.2704339,0.2650648,0.275803
Gesamt,,1999,0.2587905,0.2545331,0.263048
Gesamt,,2000,0.271222,0.2690083,0.2734358
Gesamt,,2001,0.2728613,0.2673776,0.2783449
Gesamt,,2002,0.2736826,0.2686436,0.2787215
Gesamt,,2003,0.2801956,0.2733624,0.2870288
Gesamt,,2004,0.2814346,0.2747167,0.2881525
Gesamt,,2005,0.2865976,0.2825535,0.2906418
Gesamt,,2006,0.2894582,0.2862746,0.2926418
Gesamt,,2007,0.2878179,0.2833579,0.292278
Gesamt,,2008,0.2905248,0.284182,0.2968675
Gesamt,,2009,0.2889503,0.281796,0.2961046
Gesamt,,2010,0.2843648,0.2770683,0.2916612
Gesamt,,2011,0.2881558,0.2836156,0.292696
Gesamt,,2012,0.2869858,0.2843834,0.2895882
Gesamt,,2013,0.2698172,0.267276,0.2723584
